localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp
22084020000,GENERAL JOSE DE SAN MARTIN,22,CHACO,84,LIBERTADOR GENERAL SAN MARTÍN,20,0,3509
2011010003,VILLA GENERAL MITRE,2,CABA,11,COMUNA 11,10,3,C1416ACP
66028050000,SALTA,66,SALTA,28,CAPITAL,50,0,4400
70098010003,SANTA LUCIA,70,SAN JUAN,98,SANTA LUCÍA,10,3,5411
18098010000,MBURUCUYA,18,CORRIENTES,98,MBURUCUYÁ,10,0,3427
2001010002,MONSERRAT,2,CABA,1,COMUNA 1,10,2,C1093AAS
2002010001,RECOLETA,2,CABA,2,COMUNA 2,10,1,C1425BBB
14168080000,SANTA CATALINA,14,CÓRDOBA,168,TOTORAL,80,0,5221
66056200000,PROFESOR SALVADOR MAZZA,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,200,0,4568
14084020000,LA CESIRA,14,CÓRDOBA,84,PRESIDENTE ROQUE SÁENZ PEÑA,20,0,6101
2013010003,NUÑEZ,2,CABA,13,COMUNA 13,10,3,1429
2014010001,PALERMO,2,CABA,14,COMUNA 14,10,1,1426
14098290000,VICUÑA MACKENNA,14,CÓRDOBA,98,RÍO CUARTO,290,0,6140
6410010001,ITUZAINGO CENTRO,6,BUENOS AIRES,410,ITUZAINGÓ,10,1,1714
6568010004,MORON,6,BUENOS AIRES,568,MORÓN,10,4,1744
6700040000,ESPARTILLAR (E),6,BUENOS AIRES,700,SAAVEDRA,40,0,8171
6028010002,BURZACO,6,BUENOS AIRES,28,ALMIRANTE BROWN,10,2,1852
6252010001,BELEN DE ESCOBAR,6,BUENOS AIRES,252,ESCOBAR,10,1,1625
14021290000,VILLA ALLENDE,14,CÓRDOBA,21,COLÓN,290,0,5105
86049110000,SANTIAGO DEL ESTERO,86,SANTIAGO DEL ESTERO,49,CAPITAL,110,0,4200
