localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp,domicilio,longitud,latitud
22014040000,LAS PALMAS,22,CHACO,14,BERMEJO,40,0,3518,AVENIDA SAN MARTIN ESQUINA JUAN DOMINGO PERON,-58.68741989,-27.04648774
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Viamonte 6,-63.3876262,-34.1205354
74035070000,VILLA MERCEDES,74,SAN LUIS,35,GENERAL PEDERNERA,70,0,5730,BUENOS AIRES  19,-65.4664332,-33.6865299
14049050000,DEAN FUNES,14,CÓRDOBA,49,ISCHILÍN,50,0,5200,Avenida Colón 45,-64.183896,-31.4134275
14140300000,MORTEROS,14,CÓRDOBA,140,SAN JUSTO,300,0,2421,AV LIBERTADOR 752 - MORTEROS - CORDOBA,-62.6773372,-32.8798041
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1419,Artigas Gral. Jose Gervasio 4899,-58.4992109,-34.581752
14140360000,SAN FRANCISCO,14,CÓRDOBA,140,SAN JUSTO,360,0,2400,Bv. 25 de Mayo 2665,-63.6765066,-31.9230335
70133010001,VILLA BASILIO NIEVAS,70,SAN JUAN,133,ZONDA,10,1,5401,avenida ignacio de la roza lote 23 manzana e,-68.6690826,-31.5484085
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Avenida Rafael Núñez 5156,-64.2421664,-31.356263
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1426,CABILDO 1248,-58.4485774,-34.5681205
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1066,BOLIVAR 716,-58.3730267,-34.61617684
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Roma 550,-64.1649492,-31.4093884
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,9 de Julio 603,-64.1920161,-31.4124076
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Avenida General Paz 258,-64.4956864,-31.4219632
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Lavalleja 34,-64.320195,-31.2242369
2012010003,VILLA PUEYRREDON,2,CABA,12,COMUNA 12,10,3,C1419ECZ,JOSE GERVASIO DE ARTIGAS 4702,-58.4977015,-34.5835333
14098230000,RIO CUARTO,14,CÓRDOBA,98,RÍO CUARTO,230,0,5800,BELGRANO 499 - RIO CUARTO - CORDOBA,-64.3432215,-33.1244715
14042170000,VILLA MARIA,14,CÓRDOBA,42,GENERAL SAN MARTÍN,170,0,5900,Manuel Belgrano 280,-63.2463432,-32.4170702
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Avenida Monseñor Pablo Cabrera 4650,-64.2038971,-31.3611207
14098110000,ELENA,14,CÓRDOBA,98,RÍO CUARTO,110,0,5815,San Juan 72,-63.6961308,-31.9115926
14091290000,VILLA PARQUE SIQUIMAN,14,CÓRDOBA,91,PUNILLA,290,0,5152,Pan de Azúcar,-64.235733,-31.3528614
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Mariano Fragueiro 1978,-64.1846524,-31.3926039
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1091,MORENO 636,-58.3752869,-34.611539
94014020000,USHUAIA,94,TIERRA DEL FUEGO,14,USHUAIA,20,0,9410,ONACHAGA N° 184,-68.3240094,-54.8150117
54014010000,ARISTOBULO DEL VALLE,54,MISIONES,14,CAINGUÁS,10,0,3364,Avenida de Las Américas 783,-55.1031886,-27.4784302
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,CASTRO BARROS 423 - CORDOBA - CORDOBA,-62.0757627,-31.4221515
14021250,SALSIPUEDES (SALSIPUEDES),14,CÓRDOBA,21,COLÓN,250,2,5113,AV SARMIENTO 1007 - SALSIPUEDES - CORDOBA,-64.3115134,-31.2374395
74049070000,SANTA ROSA DEL CONLARA,74,SAN LUIS,49,JUNÍN,70,0,5777,HIPOLITO IRIGOYEN  N° 599,-65.20535946,-32.34278697
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,San Jerónimo 3105,-64.1442394,-31.4237119
14091120000,LA FALDA,14,CÓRDOBA,91,PUNILLA,120,0,5172,Avenida España 103,-64.3474774,-33.1179745
70007020004,VILLA GENERAL SAN MARTIN,70,SAN JUAN,7,ALBARDÓN,20,4,5419,Santa María de Oro y Mitre,-68.52139592,-31.4391631
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1225,AVENIDA INDEPENDENCIA 3002,-58.407816,-34.6197305
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Humberto Primo 259,-64.1854202,-31.4090654
14021050000,COLONIA CAROYA,14,CÓRDOBA,21,COLÓN,50,0,5223,Avenida San Martín 3773,-64.0614725,-31.3994664
14042170000,VILLA MARIA,14,CÓRDOBA,42,GENERAL SAN MARTÍN,170,0,5900,CORRIENTES 738 - VILLA MARIA - CORDOBA,-64.1763404,-31.4221172
54028030000,POSADAS,54,MISIONES,28,CAPITAL,30,0,3300,CALLE SALTA N° 2487 ESQUINA AV. CORRIENTES,,
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Avenida Pueyrredón 650,-64.1976803,-31.4246046
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Dean Funes 444,-64.1902722,-31.4141458
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Rosario de Santa Fe 85,-64.1831392,-31.416239
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Fernando Abramo 1809,-64.1477435,-31.3708881
10105180000,TINOGASTA,10,CATAMARCA,105,TINOGASTA,180,0,5340,MORENO 411,-58.7985861,-34.6519277
14042170000,VILLA MARIA,14,CÓRDOBA,42,GENERAL SAN MARTÍN,170,0,5900,Avenida Gdor. Amadeo Sabattini,-64.1274033,-31.4410248
14063190000,MONTE BUEY,14,CÓRDOBA,63,MARCOS JUÁREZ,190,0,2589,Bartolome Mitre 58,-64.3479814,-33.1254046
14021150000,LA CALERA,14,CÓRDOBA,21,COLÓN,150,0,5151,General Simon Bolívar 916,-64.1955141,-31.4246478
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Av. Tronador 2023,-64.2157345,-31.4306174
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Baradero 2719,-64.1613516,-31.4436144
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000,Av Bodereau 9528 - VILLA ALLENDE - CORDOBA,-64.2881134,-31.3002426
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1032,AV. PUEYRREDON 581,-58.45001221,-34.59930238
54028030000,POSADAS,54,MISIONES,28,CAPITAL,30,0,3300,AV. CABRED N°115,,
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1127,AVENIDA LAS HERAS 2273,-58.45001221,-34.59930238
10105110001,FIAMBALA,10,CATAMARCA,105,TINOGASTA,110,1,5345,Julio Argentino Serrano S-N Fiambala,-67.61896133,-27.69181236
38021060000,SAN SALVADOR DE JUJUY,38,JUJUY,21,DR. MANUEL BELGRANO,60,0,4600,BELGRANO 523,-65.3005323,-24.1850289
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,RIOJA 701,-60.63305473,-32.94877599
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1406,RIVADAVIA 6854,-58.4619937,-34.6286761
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1003,Reconquista 1015,-58.3731241,-34.5960002
38021060000,SAN SALVADOR DE JUJUY,38,JUJUY,21,DR. MANUEL BELGRANO,60,0,4600,Otero 360,-65.3016033,-24.184549
2007010001,FLORES,2,CABA,7,COMUNA 7,10,1,C1406GCA,NAZCA 411,-58.4711446,-34.6273067
86035090000,LA BANDA,86,SANTIAGO DEL ESTERO,35,BANDA,90,0,4300,Alem 419,-64.23728013,-27.72967515
14042170000,VILLA MARIA,14,CÓRDOBA,42,GENERAL SAN MARTÍN,170,0,5900,Bv. Vélez Sarsfield 1272,-63.2478518,-32.4032547
34049010000,CLORINDA,34,FORMOSA,49,PILCOMAYO,10,0,3610,Avenida España 1000,-57.71866,-25.2943716
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SAN JUAN 2296,-60.65558048,-32.94719692
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SAN LUIS 2348,-60.655935,-32.945877
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SE SAN MARTIN JOSE GRL AV 4515,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SUPERI JOSE 996,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,TUCUMAN 1099,-60.63706169,-32.94183776
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,DE URQUIZA JUSTO JOSE 2597,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,VELEZ SARSFIELD 1582,-60.68617172,-32.92518195
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,ARIJON AV 1337,-60.65236462,-33.00311707
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,BAHIA BLANCA BIS 388,-60.68876932,-32.923865
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,BAIGORRIA JUAN BAUTISTA 957,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,BALCARCE 816,-60.65197402,-32.94411923
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,AYACUCHO 1650,-60.62946844,-32.95868957
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SEGUI JUAN FRANCISCO BV 5341,,
