establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,tipologia_id,tipologia_sigla,cp,domicilio,sitio_web,longitud,latitud
GIACOSA,14063190000,MONTE BUEY,14,CÓRDOBA,63,MARCOS JUÁREZ,190,70,FARMACIA,2589,25 de mayo 565,,,
SAINZ VARENGO,14098230000,RIO CUARTO,14,CÓRDOBA,98,RÍO CUARTO,230,70,FARMACIA,5800,av españa 2 esquina alonso,,,
DE LA COSTA,74028090000,VILLA LARCA,74,SAN LUIS,28,CHACABUCO,90,70,FARMACIA,5883,AVENIDA SAN MARTIN N° 368,,-64.97980224,-32.61594924
USPALLATA,50007010006,6A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,JORGE A CALLE  N° 704 Y P. DE LOS ANDES,,,
DEL ESTE II GUTIERREZ,90014010001,ALDERETES,90,TUCUMÁN,14,CRUZ ALTA,10,70,FARMACIA,4178,"AVENIDA RIVADAVIA 2100, ESQUINA  ALURRALDE",,,
FARMACON,90021050000,CONCEPCION,90,TUCUMÁN,21,CHICLIGASTA,50,70,FARMACIA,4146,SAN MARTÍN 2751,,,
FARMA LIBERTAD,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Avenida Sabattini 3250  Local 510,,,
MARONI,14021250000,SALSIPUEDES,14,CÓRDOBA,21,COLÓN,250,70,FARMACIA,5113,san martin esquina guemes 2,,,
AGUSTIN GARZON,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,AGUSTIN GARZON 1607,,-64.16322883,-31.42416036
NICOLINO PATIRE,14098030000,ALCIRA,14,CÓRDOBA,98,RÍO CUARTO,30,70,FARMACIA,5813,BV. ROCA  606,,,
MARTIN,14021050000,COLONIA CAROYA,14,CÓRDOBA,21,COLÓN,50,70,FARMACIA,5223,don bosco 3694,,,
SUHR,14063090000,CORRAL DE BUSTOS,14,CÓRDOBA,63,MARCOS JUÁREZ,90,70,FARMACIA,2645,Edison 425 - CORRAL DE BUSTOS - CORDOBA,,-62.18501667,-33.28614879
DEL AGUILA LAS HERAS,50007010002,2A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,LAS HERAS 150,,,
DEL PUEBLO (SAN JUSTO),14140280000,MARULL,14,CÓRDOBA,140,SAN JUSTO,280,70,FARMACIA,5139,san martin 383,,,
FARMACIA II FARMA,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Av Fuerza Aérea 3351 - Local 2,,,
MALBRAN,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Av Velez Sarsfield 4414 local 2,,-64.20203894,-31.46185086
MASSOLA,14119130000,MANFREDI,14,CÓRDOBA,119,RÍO SEGUNDO,130,70,FARMACIA,5988,Virginia Yaniz s/n,,-63.74918342,-31.84106236
ROBLEDO,14175080000,SAN JOSE DE LA DORMIDA,14,CÓRDOBA,175,TULUMBA,80,70,FARMACIA,5244,av. Peron 472,,,
BURGOS,50049050002,LAS HERAS,50,MENDOZA,49,LAS HERAS,50,70,FARMACIA,5539,BURGOS N° 619,,-68.84149803,-32.84673397
MESURA CUARTA SECCION,50007010004,4A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,SAN MARTIN  Nº 2699 esq. JUJUY,,,
FARMACIA IOSFA HOSPITAL MILITAR CAMPO DE MAYO,6760010002,CAMPO DE MAYO,6,BUENOS AIRES,760,SAN MIGUEL,10,70,FARMACIA,1659,Ruta 8 Puerta N°4 Av.Tte.Grl P.Richieri s/n,,,
FARMAMET,94014020000,USHUAIA,94,TIERRA DEL FUEGO,14,USHUAIA,20,70,FARMACIA,9410,12 de Octubre Nº 1298,,-68.34481744,-54.81598417
BIANCO,14098030000,ALCIRA,14,CÓRDOBA,98,RÍO CUARTO,30,70,FARMACIA,5813,25 de mayo 70,,,
NOYA,14091070000,COSQUIN,14,CÓRDOBA,91,PUNILLA,70,70,FARMACIA,5166,SAN MARTIN 949 - COSQUIN - CORDOBA,,-64.46541238,-31.24253259
MARTINEZ,14098020000,ADELIA MARIA,14,CÓRDOBA,98,RÍO CUARTO,20,70,FARMACIA,5843,av san martin 251,,,
FARMACIA ROCHEREUL,42098050000,VICTORICA,42,LA PAMPA,98,LOVENTUÉ,50,70,FARMACIA,6319,CALLE 17 Nº 955,,-65.43559618,-36.21848589
ARENA,50028010000,COLONIA SEGOVIA,50,MENDOZA,28,GUAYMALLÉN,10,70,FARMACIA,5525,ALMIRANTE BROWN Nº 8430,,,
PERITO MORENO,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,70,FARMACIA,5501,P. MORENO  Nº1099,,,
FARMATOWN,14119100000,LAS JUNTURAS,14,CÓRDOBA,119,RÍO SEGUNDO,100,70,FARMACIA,5965,velez sarsfield 431,,,
REAL I FARMACIA - SAN RAFAEL.-,50105210002,SAN RAFAEL,50,MENDOZA,105,SAN RAFAEL,210,70,FARMACIA,5600,CÓRDOBA 70,,,
DEL SOL (RIO II),14119190000,RIO SEGUNDO,14,CÓRDOBA,119,RÍO SEGUNDO,190,70,FARMACIA,5960,Alem 1198,,,
OCTAVIO,10091150000,SANTA MARIA,10,CATAMARCA,91,SANTA MARÍA,150,70,FARMACIA,4139,SIGLO XX N°480,,-66.04793266,-26.70430188
VILLA DEL LAGO,14091250000,VILLA CARLOS PAZ,14,CÓRDOBA,91,PUNILLA,250,70,FARMACIA,5152,Sarmiento 1212,,-64.50375962,-31.39462276
NUEVA ROSA,14021050000,COLONIA CAROYA,14,CÓRDOBA,21,COLÓN,50,70,FARMACIA,5223,san martin 1973,,,
MORICONI,14056100000,LA CARLOTA,14,CÓRDOBA,56,JUÁREZ CELMAN,100,70,FARMACIA,2670,velez sarsfield 432,,-64.18934202,-31.42105837
ZABALETTA,14119190000,RIO SEGUNDO,14,CÓRDOBA,119,RÍO SEGUNDO,190,70,FARMACIA,5960,peru 305,,,
NAZCA PLAZA GODOY CRUZ,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,70,FARMACIA,5501,COLON Nº 97,,,
SANARTE,14084030000,LABOULAYE,14,CÓRDOBA,84,PRESIDENTE ROQUE SÁENZ PEÑA,30,70,FARMACIA,6120,av pellegrini 295,,,
SALUS,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,10,CATAMARCA,49,CAPITAL,30,70,FARMACIA,4700,AVDA. PRESIDENTE CASTILLO Nº 3090  LOCAL 2,,-65.741268,-28.453231
CHILECITO,46042010002,CHILECITO,46,LA RIOJA,42,CHILECITO,10,70,FARMACIA,5360,Av. Juan Domingo Peron esq. Av. Illia,,-67.4965659,-29.1720151
DEL SOL,74049060000,MERLO,74,SAN LUIS,49,JUNÍN,60,70,FARMACIA,5881,J. C. MANSILLA N° 450,,,
FARMACIA LA NUEVA CRISTIANIA S.C.S.,6427010008,RAFAEL CASTILLO,6,BUENOS AIRES,427,LA MATANZA,10,70,FARMACIA,1755,CRISTIANIA  N° 995,,-58.60000628,-34.69858549
LA INDEPENDENCIA,50049050007,EL PLUMERILLO,50,MENDOZA,49,LAS HERAS,50,70,FARMACIA,5541,INDEPENDENCIA Nº 2415,,-68.80746943,-32.84236276
FARMACIA I.O.S.F.A. PEDRO MALLO,2006010001,CABALLITO,2,CABA,6,COMUNA 6,10,70,FARMACIA,1405,Ramos Mejia 905,,-58.4326557,-34.60538845
AYACUCHO,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Avenida Juan B Justo 4092,,-64.17602769,-31.37623734
ESTRELLA,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,CHACABUCO 194/200,,-64.18093581,-31.41941524
MALETTO DE FERRERO,14140300000,MORTEROS,14,CÓRDOBA,140,SAN JUSTO,300,70,FARMACIA,2421,av. Del libertador 676,,,
SIERRAS DEL SOL SUR,74056150000,SAN LUIS,74,SAN LUIS,56,LA CAPITAL,150,70,FARMACIA,5700,Av Presidente Peron N° 33,,,
LINIERS,50084140000,RIVADAVIA,50,MENDOZA,84,RIVADAVIA,140,70,FARMACIA,5577,LINIERS Nº 902 ESQ BELISARIO GIL,,,
BOTIQUIN DE FARMACIA GENOA II,26035020000,CORCOVADO,26,CHUBUT,35,FUTALEUFÚ,20,70,FARMACIA,9201,AV. SAN MARTIN S/N,,-71.47170295,-43.53503978
FARMA UCO,50119060000,TUNUYAN,50,MENDOZA,119,TUNUYÁN,60,70,FARMACIA,5560,SAN MARTIN 1283,,,
NAVARRO,14098050000,BERROTARAN,14,CÓRDOBA,98,RÍO CUARTO,50,70,FARMACIA,5817,Ludovina Tocolli de Conti 764,,,
NONINO,14182180000,MORRISON,14,CÓRDOBA,182,UNIÓN,180,70,FARMACIA,2568,av. del agricultor 822,,,
SARMIENTO IV,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,AV.EJERCITO ARGENTINO 6820 LOCAL 1-2,,,
LAHUEN,50021010005,SAN FRANCISCO DEL MONTE,50,MENDOZA,21,GODOY CRUZ,10,70,FARMACIA,5547,INDEPENDENCIA Nº 898 Bº METALURGICO,,-68.82856758,-32.93859699
ACETO DE NAVARRO,14105260000,SANTA ROSA DE RIO PRIMERO,14,CÓRDOBA,105,RÍO PRIMERO,260,70,FARMACIA,5133,caseros 759,,-63.40372869,-31.15179345
DESPERTAR DEL OBRERO,30098040000,CONCEPCION DEL URUGUAY,30,ENTRE RÍOS,98,URUGUAY,40,70,FARMACIA,3260,JJ A Bruno 2829,,-58.2785,-32.4873
VERMOUTH,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Marcelo T de Alvear 704,,-64.19306102,-31.42274556
LORENZATTI,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,AV. Las Malvinas 2995 esq. Alsina Yofre Norte,,-64.13346949,-31.38869373
SAN FRANCISCO,50126060001,TUPUNGATO,50,MENDOZA,126,TUPUNGATO,60,70,FARMACIA,5561,BELGRANO 1200,,,
LOS CERROS,50063090003,LUJAN DE CUYO,50,MENDOZA,63,LUJÁN DE CUYO,90,70,FARMACIA,5549,ROQUE SAENZ PEÑA 1940,,,
PIAZZA,14119120000,LUQUE,14,CÓRDOBA,119,RÍO SEGUNDO,120,70,FARMACIA,5967,25 de mayo 791,,-63.34564302,-31.64685134
BISCHOFF DE ECHENIQUE,14063150000,ISLA VERDE,14,CÓRDOBA,63,MARCOS JUÁREZ,150,70,FARMACIA,2661,sarmiento 472,,,
VIEL,14021140000,JESUS MARIA,14,CÓRDOBA,21,COLÓN,140,70,FARMACIA,5220,castulo peña 108,,,
SAN CAYETANO,50070050000,FRAY LUIS BELTRAN,50,MENDOZA,70,MAIPÚ,50,70,FARMACIA,5531,AGUSTÍN ALVAREZ  Nº 260,,,
NUESTRA SEÑORA DE LUJAN,90014060003,EX INGENIO LUJAN,90,TUCUMÁN,14,CRUZ ALTA,60,70,FARMACIA,4178,AV. SANTIAGO GALLO 405,,,
OLMOS,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,La Rioja 2306,,-64.2117721,-31.40279865
BELGRANO 2,50098100002,CIUDAD DE SAN MARTIN,50,MENDOZA,98,SAN MARTÍN,100,70,FARMACIA,5570,9 DE JULIO ESQ. SAN LORENZO,,,
ANGELI,14098250000,SAN BASILIO,14,CÓRDOBA,98,RÍO CUARTO,250,70,FARMACIA,5841,French 305,,,
LIBERTAD (VILLA DE LAS ROSAS),14133190000,VILLA DE LAS ROSAS,14,CÓRDOBA,133,SAN JAVIER,190,70,FARMACIA,5885,guasmara 19,,-65.05297517,-31.94746317
ITALIA,50021010006,VILLA HIPODROMO,50,MENDOZA,21,GODOY CRUZ,10,70,FARMACIA,5547,O HIGGINS Nº 1670,,,
FARMASHOP LA BARRACA,50028020008,LAS CAÑAS,50,MENDOZA,28,GUAYMALLÉN,20,70,FARMACIA,5519,LAS CAÑAS Nº 1833 - LOCAL 2 Y 3 LA BARRACA MALL,,,
FARMACIA HOSPITALARIA NTRA SRA DEL CARMEN,6392050000,GENERAL VILLEGAS,6,BUENOS AIRES,392,GENERAL VILLEGAS,50,70,FARMACIA,6230,DR. ISTURIS  S/N,,,
FARMACIA SILVANA MARTINEZ,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Av Bulnes 2830,,,
MORI ESPAÑA,50007010003,3A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,ESPAÑA 980,,,
BELGRANO,50007010005,5A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,BELGRANO Nº 144,,,
CABILDO,50028020003,CAPILLA DEL ROSARIO,50,MENDOZA,28,GUAYMALLÉN,20,70,FARMACIA,5523,FADER 1849,,-68.7674992,-32.90797606
PLAZOLETA DEL PORTAL,90119030002,YERBA BUENA - MARCOS PAZ,90,TUCUMÁN,119,YERBA BUENA,30,70,FARMACIA,4124,FERMÍN CARIOLA 42 CTRO. COMERCIAL EL PORTAL- LOCAL1.291,,,
UNIFARMA TERMINAL,14098230000,RIO CUARTO,14,CÓRDOBA,98,RÍO CUARTO,230,70,FARMACIA,5800,andres dadone 850,,-64.35250735,-33.11443084
POPULAR,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,70,FARMACIA,5501,SAN MARTIN  Nº 1645,,-68.8438544,-32.90764086
SAN FRANCISCO,94014020000,USHUAIA,94,TIERRA DEL FUEGO,14,USHUAIA,20,70,FARMACIA,9410,Gobernador Paz Nº 1095,,-68.31407194,-54.80683992
GERONIMO,90056000029,CARANCHO POZO,90,TUCUMÁN,56,LEALES,0,70,FARMACIA,4168,EL CRUCE- RUTA9- CARANCHO POZO- LOS PUESTOS- LEALES,,,
ANDRADA SUR,10035020000,BELEN,10,CATAMARCA,35,BELÉN,20,70,FARMACIA,4750,AVENIDA PACIFICO ARQUES Nº 723,,-67.02721117,-27.6653603
SERVICIO DE FARMACIA DEL HOSPITAL INTERZONAL SAN JUAN BAUTISTA,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,10,CATAMARCA,49,CAPITAL,30,70,FARMACIA,4700,AVDA. ILLIA Y AVDA. MARIANO MORENO,,-65.79139932,-28.46117763
GARCIA COCCO,14098230000,RIO CUARTO,14,CÓRDOBA,98,RÍO CUARTO,230,70,FARMACIA,5800,AVENIDA ITALIA 1198,,-64.3511111,-33.12832505
SVFARMA III,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Av. General Paz 334,,-64.18511852,-31.41140888
MORI,50007010006,6A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,JORGE  A. CALLE  Nº159,,,
HIGUERITA,50028020003,CAPILLA DEL ROSARIO,50,MENDOZA,28,GUAYMALLÉN,20,70,FARMACIA,5523,HIGUERITA  Nº 2175,,-68.76892705,-32.90338633
MARIANO MORENO,50049050010,LA CIENEGUITA,50,MENDOZA,49,LAS HERAS,50,70,FARMACIA,5539,SEGUNDO BARRIO MARIANO MORENO M18 C11,,-68.82510988,-32.85138727
CAPRARI,14140040000,BALNEARIA,14,CÓRDOBA,140,SAN JUSTO,40,70,FARMACIA,5141,san jose 281,,,
ANA LONDERO DE ARGUELLO,14021050000,COLONIA CAROYA,14,CÓRDOBA,21,COLÓN,50,70,FARMACIA,5223,san martin 3895,,,
ITALIANA,14091250000,VILLA CARLOS PAZ,14,CÓRDOBA,91,PUNILLA,250,70,FARMACIA,5152,san martin 1211 local 3,,,
FARMAS BARRIO SUR,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,LAMADRID 402,,,
URKUPIÑA,10091000001,AGUA AMARILLA,10,CATAMARCA,91,SANTA MARÍA,0,70,FARMACIA,4139,CALLE MANUEL BELGRANO Nº 207 ESQUINA MARIANO MORENO,,,
BOTIQUIN CURI II,74063080000,VILLA DE PRAGA,74,SAN LUIS,63,LIBERTADOR GENERAL SAN MARTÍN,80,70,FARMACIA,5753,PRINGLES S/N,,-65.64627451,-32.53305607
BIOFARMA,90105070000,EL CADILLAL,90,TUCUMÁN,105,TAFÍ VIEJO,70,70,FARMACIA,4103,"RUTA 347- KM 3,8- LOCAL 7- PASEO LA SOLANA",,,
SAN MARTIN DE PORRES FARMACIA.-,50126060001,TUPUNGATO,50,MENDOZA,126,TUPUNGATO,60,70,FARMACIA,5561,AV. BELGRANO 218,,,
CENTRO,14042050000,ETRURIA,14,CÓRDOBA,42,GENERAL SAN MARTÍN,50,70,FARMACIA,2681,m. balestrini  329,,,
SANTA ANA III,50063090003,LUJAN DE CUYO,50,MENDOZA,63,LUJÁN DE CUYO,90,70,FARMACIA,5549,AV SAN MARTIN  Nº 400,,,
MORI GODOY CRUZ,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,70,FARMACIA,5501,JUAN DE GARAY  Nº 30,,-68.8455236,-32.91534712
FARMAGREEN,90105080000,TAFI VIEJO,90,TUCUMÁN,105,TAFÍ VIEJO,80,70,FARMACIA,4103,San Martin 623  BARRIO LOMAS DE TAFÍ SECTOR 13- MZNA. 13,,-65.20624739,-26.82913412
EL PRADO,14140360000,SAN FRANCISCO,14,CÓRDOBA,140,SAN JUSTO,360,70,FARMACIA,2400,primeros colonizadores 2542,,,
RASMUSEN DE PODESTA (SUC 1),14098230000,RIO CUARTO,14,CÓRDOBA,98,RÍO CUARTO,230,70,FARMACIA,5800,marcelo t de alvear 311,,-64.34224642,-33.11074057
ALRIC,74056150000,SAN LUIS,74,SAN LUIS,56,LA CAPITAL,150,70,FARMACIA,5700,MAYOR PALAVER 1297,,,
EL MOLINO,50070060003,LUZURIAGA,50,MENDOZA,70,MAIPÚ,60,70,FARMACIA,5513,AV SARMIENTO Nº 1665,,,
SAN RAMON II,50105190000,REAL DEL PADRE,50,MENDOZA,105,SAN RAFAEL,190,70,FARMACIA,5624,RIO NEGRO S/N,,-67.76721146,-34.84625299
TRIFARMA,14119120000,LUQUE,14,CÓRDOBA,119,RÍO SEGUNDO,120,70,FARMACIA,5967,Vélez sarsfield 411 esq av maipu,,-63.35022932,-31.64806938
PASCUAL SEGURA,50049050009,EL ZAPALLAR,50,MENDOZA,49,LAS HERAS,50,70,FARMACIA,5539,LISANDRO MOYANO N° 891,,-68.82136391,-32.85703436
NUEVA PELLEGRINI,50007010004,4A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,PELLEGRINI  Nº 287,,,
BOEDO,50063090001,CARRODILLA,50,MENDOZA,63,LUJÁN DE CUYO,90,70,FARMACIA,5505,BOEDO ESQ LATERAL OESTE ACCESO SUR LOCALES 19-20 CENTRO COMERCIAL ALAMO,,,
MORI VILLA NUEVA,50028020014,VILLA NUEVA,50,MENDOZA,28,GUAYMALLÉN,20,70,FARMACIA,5521,LIBERTAD Nº 1039,,-68.78659598,-32.89728165
NATAL II,50007010006,6A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,ROQUE SAENZ PEÑA Nº 504 Y GRANADEROS,,,
PONTE VI,14161150000,RIO TERCERO,14,CÓRDOBA,161,TERCERO ARRIBA,150,70,FARMACIA,5850,Garibaldi 329,,-64.10760964,-32.17688915
AMBROGGIO CHERSI,14140330000,PORTEÑA,14,CÓRDOBA,140,SAN JUSTO,330,70,FARMACIA,2415,SAN MARTIN 344,,,
DEL SUPER,14091070000,COSQUIN,14,CÓRDOBA,91,PUNILLA,70,70,FARMACIA,5166,AV SAN MARTIN 1125,,,
FARMAGREEN,50028020012,SAN FRANCISCO DEL MONTE,50,MENDOZA,28,GUAYMALLÉN,20,70,FARMACIA,5503,URQUIZA Nº 784,,-68.78849899,-32.91695315
FARMACIA TESTA,6441030015,LA PLATA,6,BUENOS AIRES,441,LA PLATA,30,70,FARMACIA,1900,11 77 (E/ 33 Y 34),,,
FARMACIA MOYA LUCERO MERNES,42140020000,TOAY,42,LA PAMPA,140,TOAY,20,70,FARMACIA,6303,Avenida 13 de Caballería Nº 16,,-64.36307346,-36.66783329
GAVIGLIO,14119120000,LUQUE,14,CÓRDOBA,119,RÍO SEGUNDO,120,70,FARMACIA,5967,9 DE JULIO 760,,,
NUEVA ITALIA,50091040000,LA CONSULTA,50,MENDOZA,91,SAN CARLOS,40,70,FARMACIA,5567,JULIO BALMACEDA Y SIXTO VIDELA,,,
NATAL I,50049050010,LA CIENEGUITA,50,MENDOZA,49,LAS HERAS,50,70,FARMACIA,5539,JOSE MARIA GODOY Esq. RIVEROS,,,
FARMACIA FARMAMASS,6539010003,MERLO,6,BUENOS AIRES,539,MERLO,10,70,FARMACIA,1722,RIOBAMBA  N° 781,,-58.72824888,-34.66830074
PLAZOLETA SANTIAGO CENTRO,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,SANTIAGO DEL ESTERO 598,,,
PACARA,90070030000,MONTEROS,90,TUCUMÁN,70,MONTEROS,30,70,FARMACIA,4142,ERNESTO PADILLA 180,,,
ESTRELLA V,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Monseñor Pablo Cabrera 4483,,-64.20418519,-31.36273509
RUTINI 2,50028020002,BUENA NUEVA,50,MENDOZA,28,GUAYMALLÉN,20,70,FARMACIA,5523,GODOY CRUZ N°7370 - LOCAL N° 1 Y 2,,,
CHANGO MAS II,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,JUJUY 2775,,-65.22077449,-26.86600339
BONFARMA.,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,SANTIAGO DEL ESTERO 140 ( SUBSUELO),,,
FARMACIA SOCIAL AVENIDA S.C.S.,6560010004,MORENO,6,BUENOS AIRES,560,MORENO,10,70,FARMACIA,1744,VICTORIA UF 3 PH  N° 502,,,
FARMALIDER SUR,74056150000,SAN LUIS,74,SAN LUIS,56,LA CAPITAL,150,70,FARMACIA,5700,B° El Lince - M 18 - Casa N° 1,,,
FARMACIA FRANCO DEL RIO  S.C.S.,6245010004,PUNTA LARA,6,BUENOS AIRES,245,ENSENADA,10,70,FARMACIA,1931,11 ESQ 102 LOC 3  N° 5392,,,
ASOSIACION MUTUAL DE LOS OBREROS CATOLICOS PADRE FEDERICO GROTE,2002010001,RECOLETA,2,CABA,2,COMUNA 2,10,70,FARMACIA,C1425DUH,Sánchez de Bustamante 1666,,-58.410407,-34.591649
SANATORIO CIMSA,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,JUJUY 111,,,
CALDERON,38021060000,SAN SALVADOR DE JUJUY,38,JUJUY,21,DR. MANUEL BELGRANO,60,70,FARMACIA,4600,Patricias Argentinas 600,,-65.31137,-24.18197
CLINICA I.P.P.I. DR MANUEL CORBALAN,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,AV. COLÓN 1090,,,
JONES II,22105010000,LAS BREÑAS,22,CHACO,105,9 DE JULIO,10,70,FARMACIA,3722,GENERAL JONES N° 1201,,,
MONTAÑA,18021020000,CORRIENTES,18,CORRIENTES,21,CAPITAL,20,70,FARMACIA,3400,Tobias Garzon 5771,,-58.7910682,-27.526279
RUFINATTI S.C.S.,6791050000,TANDIL,6,BUENOS AIRES,791,TANDIL,50,70,FARMACIA,7000,COLOMBIA 1198,,,
FARMACOR II,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,10,CATAMARCA,49,CAPITAL,30,70,FARMACIA,4700,ALONSO DE TULA Y CERVIN ESQUINA LA TOMA,,-65.80839851,-28.46807965
FARMACITY LOS PERALES,38021060000,SAN SALVADOR DE JUJUY,38,JUJUY,21,DR. MANUEL BELGRANO,60,70,FARMACIA,4600,Av. Illia esq. Las Delicias,,-65.316795,-24.169426
JUNIN,74056150000,SAN LUIS,74,SAN LUIS,56,LA CAPITAL,150,70,FARMACIA,5700,GRANADEROS PUNTANOS N° 965,,,
SAN SALVADOR,38021060000,SAN SALVADOR DE JUJUY,38,JUJUY,21,DR. MANUEL BELGRANO,60,70,FARMACIA,4600,Urdininea 365/367,www.farmar.com.ar/sucursales,-65.301455,-24.192492
"FARMACIA MT 09, S.C.S.",6427010003,GONZALEZ CATAN,6,BUENOS AIRES,427,LA MATANZA,10,70,FARMACIA,1759,BENJAMIN MATIENZO  N° 5008 de GONZALEZ CATAN,,,
SAGRADO CORAZON DE JESUS,10077050000,LA MERCED,10,CATAMARCA,77,PACLÍN,50,70,FARMACIA,4718,NUESTRA SEÑORA DEL ROSARIO S/N,,-65.66035931,-28.15250609
"FARMACIA OLAFFARMA, S.C.S.",6274010001,BOSQUES,6,BUENOS AIRES,274,FLORENCIO VARELA,10,70,FARMACIA,1889,SANTA SOFIA 1304,,,
EL PROGRESO,18035020000,CURUZU CUATIA,18,CORRIENTES,35,CURUZÚ CUATIÁ,20,70,FARMACIA,3460,Progreso 836,,-58.0580471,-29.7903375
SAN JUAN BAUTISTA,22140060000,RESISTENCIA,22,CHACO,140,SAN FERNANDO,60,70,FARMACIA,3500,AVENIDA SARMIENTO N° 1030,,,
FARMACIA  EMPEDRADO DE TOTAL PHARMA SRL,18042020000,EMPEDRADO,18,CORRIENTES,42,EMPEDRADO,20,70,FARMACIA,3418,Av Piragini Niveyro N° 2590,,-58.7940183,-27.9445286
NUEVA VIDA FARMA,22098010000,CORONEL DU GRATY,22,CHACO,98,MAYOR LUIS J. FONTANA,10,70,FARMACIA,3541,AVENIDA MARIANO MORENO N° 55,,,
BUENDIA,22084060000,PAMPA DEL INDIO,22,CHACO,84,LIBERTADOR GENERAL SAN MARTÍN,60,70,FARMACIA,3531,MAIPÚ N° 631,,-59.94130794,-26.05119789
FARMACIA GLOBAL ILLIA,58035100000,PLOTTIER,58,NEUQUÉN,35,CONFLUENCIA,100,70,FARMACIA,8300,ILLIA 774,,,
FARMACIA MONASTERIO III,58035110000,SENILLOSA,58,NEUQUÉN,35,CONFLUENCIA,110,70,FARMACIA,3363,"BELGRANO 494, ESQ. SAN LUIS",,-68.43043969,-39.01428887
SANTA TERESITA,38014040000,EL CARMEN,38,JUJUY,14,EL CARMEN,40,70,FARMACIA,4603,Belgrano 502,,-65.2632729,-24.3882066
VISTACRUZ,74035080002,5TA BRIGADA,74,SAN LUIS,35,GENERAL PEDERNERA,80,70,FARMACIA,5730,PERON 1185,,,
FARMACITY (41),2001010005,SAN NICOLAS,2,CABA,1,COMUNA 1,10,70,FARMACIA,C1043AAR,Avenida Corrientes 480,,-58.373614,-34.603463
PROSALUD,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,10,CATAMARCA,49,CAPITAL,30,70,FARMACIA,4700,AVENIDA GUEMES Nº 1113,,-65.77059,-28.475685
MAS FARMA,46014000003,AMPATA,46,LA RIOJA,14,CAPITAL,0,70,FARMACIA,5300,AV. ORTIZ DE OCAMPO N° 1127 BARRIO PANGO,,,
FHARMASUR,90049010000,LA COCHA,90,TUCUMÁN,49,LA COCHA,10,70,FARMACIA,4162,HIPÓLITO IRIGOYEN 297,,,
HOSPITAL,74049060000,MERLO,74,SAN LUIS,49,JUNÍN,60,70,FARMACIA,5881,JUANA AZURDUY N° 740,,,
