establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,tipologia_id,tipologia_sigla,cp,domicilio,sitio_web,longitud,latitud
MONTERRICO S.R.L.,38014070000,MONTERRICO,38,JUJUY,14,EL CARMEN,70,70,FARMACIA,4608,CORDOBA 282,,-65.1663401,-24.4407243
NUESTRA SEÑORA DE LOURDES,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,RAMIREZ DE VELAZCO 3175,,-65.2399111,-26.791602
GALENICA,46014010000,LA RIOJA,46,LA RIOJA,14,CAPITAL,10,70,FARMACIA,5300,LAMADRID N° 313 B° centro,,-66.854219,-29.4093622
ANSENUZA,14140290000,MIRAMAR,14,CÓRDOBA,140,SAN JUSTO,290,70,FARMACIA,5143,Buenos Aires 282,,-62.6754863,-30.9161206
SAN RAFAEL ARCANGEL,38042040001,PALPALA,38,JUJUY,42,PALPALÁ,40,70,FARMACIA,4612,AV. RIO DE LA PLATA 482,,-65.214022,-24.257214
PLAZOLETA ROCA,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,Avenida Nestor Kirchner 2310,,-65.2422821,-26.7841022
LAS 2 NIÑAS,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,Lavalle 3202,,-65.2483145,-26.8313717
VIRGEN DE LUJAN,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,70,FARMACIA,4000,MARINA ALFARO 952,,-65.47851563,-38.47939467
CASEROS,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Caseros 1199,,-64.2011828,-31.4134732
HP FARMA IV (HIPER LIBERTAD),14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,FRAY L. BELTRAN Y MANUEL CARDEÑOSA LOCAL 435 B POETA LUGONES,,-65.47851563,-38.47939467
FORESTAL NORTE,38042040001,PALPALA,38,JUJUY,42,PALPALÁ,40,70,FARMACIA,4612,PORTUGAL N° 166,,-65.2069821,-24.2533543
EMANUEL,34049010000,CLORINDA,34,FORMOSA,49,PILCOMAYO,10,70,FARMACIA,3610,Barrio 500 Viviendas local 8 Sector A,,-65.47851563,-38.47939467
BOTIQUIN SAN CAYETANO,46119010007,LOS ROBLES,46,LA RIOJA,119,SAN BLAS DE LOS SAUCES,10,70,FARMACIA,5329,RUTA NUMERO 40,,-65.47851563,-38.47939467
FARMACIA HOSPITAL ELEAZAR HERRERA MOTTA,46042010002,CHILECITO,46,LA RIOJA,42,CHILECITO,10,70,FARMACIA,5360,GOBERNADOR GREGORIO CABERO 500,,-65.47851563,-38.47939467
ROSARIO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SAN LORENZO 1315,,-60.64059899,-32.9435729
FARMA UNO,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,AV.ARMADA ARGENTINA 334 - CORDOBA - CORDOBA,,-64.20618163,-31.45343544
RESTA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,BIEDMA CNL 3086,,,
ROMERO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,OROO NICASIO BV 3207,,,
RODRIGUEZ IRAMAIN,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,ITUZAINGO 901,,-60.6390422,-32.96120678
RODRIGO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,PASO JUAN JOSE 5880,,,
